Lmod has detected the following error: The following module(s) could not be
loaded: "openmpi/4.0.3"

Please check the spelling or version number. Also try "module spider ..."

It is also possible that the module is not available for this node type.
See https://docs.icer.msu.edu/available_software/overview/ for details. 


Compiling reverseGOL-mpi.c...
Running MPI program with 4 tasks...
Worker 2: Generation 103 with best=0 fitness=0
Worker 3: Generation 103 with best=0 fitness=0
Worker 1: Generation 104 with best=0 fitness=0
Worker 0: Generation 104 with best=0 fitness=0
Worker 3: Generation 104 with best=0 fitness=0
Worker 2: Generation 104 with best=0 fitness=0
Worker 1: Generation 105 with best=0 fitness=0
Worker 0: Generation 105 with best=0 fitness=0
Worker 2: Generation 105 with best=0 fitness=0
Worker 3: Generation 105 with best=0 fitness=0
Worker 1: Generation 106 with best=0 fitness=0
Worker 0: Generation 106 with best=0 fitness=0
Worker 3: Generation 106 with best=0 fitness=0
Worker 2: Generation 106 with best=0 fitness=0
Worker 1: Generation 107 with best=0 fitness=0
Worker 0: Generation 107 with best=0 fitness=0
Worker 3: Generation 107 with best=0 fitness=0
Worker 2: Generation 107 with best=0 fitness=0
Worker 1: Generation 108 with best=0 fitness=0
Worker 0: Generation 108 with best=0 fitness=0
Worker 2: Generation 108 with best=0 fitness=0
Worker 3: Generation 108 with best=0 fitness=0
Worker 1: Generation 109 with best=0 fitness=0
Worker 0: Generation 109 with best=0 fitness=0
Worker 3: Generation 109 with best=0 fitness=0
Worker 2: Generation 109 with best=0 fitness=0
Worker 1: Generation 110 with best=0 fitness=0
Worker 0: Generation 110 with best=0 fitness=0
Worker 2: Generation 110 with best=0 fitness=0
Worker 3: Generation 110 with best=0 fitness=0
Worker 1: Generation 111 with best=0 fitness=0
Worker 0: Generation 111 with best=0 fitness=0
Worker 2: Generation 111 with best=0 fitness=0
Worker 3: Generation 111 with best=0 fitness=0
Worker 1: Generation 112 with best=0 fitness=0
Worker 0: Generation 112 with best=0 fitness=0
Worker 3: Generation 112 with best=0 fitness=0
Worker 2: Generation 112 with best=0 fitness=0
Worker 1: Generation 113 with best=0 fitness=0
Worker 0: Generation 113 with best=0 fitness=0
Worker 3: Generation 113 with best=0 fitness=0
Worker 2: Generation 113 with best=0 fitness=0
Worker 1: Generation 114 with best=0 fitness=0
Worker 0: Generation 114 with best=0 fitness=0
Worker 3: Generation 114 with best=0 fitness=0
Worker 2: Generation 114 with best=0 fitness=0
Worker 1: Generation 115 with best=0 fitness=0
Worker 0: Generation 115 with best=0 fitness=0
Worker 2: Generation 115 with best=0 fitness=0
Worker 3: Generation 115 with best=0 fitness=0
Worker 1: Generation 116 with best=0 fitness=0
Worker 0: Generation 116 with best=0 fitness=0
Worker 2: Generation 116 with best=0 fitness=0
Worker 3: Generation 116 with best=0 fitness=0
Worker 1: Generation 117 with best=0 fitness=0
Worker 0: Generation 117 with best=0 fitness=0
Worker 2: Generation 117 with best=0 fitness=0
Worker 3: Generation 117 with best=0 fitness=0
Worker 1: Generation 118 with best=0 fitness=0
Worker 0: Generation 118 with best=0 fitness=0
Worker 2: Generation 118 with best=0 fitness=0
Worker 3: Generation 118 with best=0 fitness=0
Worker 1: Generation 119 with best=0 fitness=0
